豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
47,["飞越疯人院 One Flew Over the Cuckoo's Nest"],"['劳伦斯·奥邦', '博·古德曼', '肯·凯西', '达尔·瓦瑟曼']","['杰克·尼科尔森', '丹尼·德维托', '克里斯托弗·洛伊德']",['剧情'],[' 美国'],[' 英语'],['1975-11-19(美国)'],['133分钟'],['9.1'],['357687'],['45'],['61.4%'],['31.3%'],['6.6%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
48,['死亡诗社 Dead Poets Society'],['汤姆·舒尔曼'],"['罗宾·威廉姆斯', '罗伯特·肖恩·莱纳德', '伊桑·霍克']",['剧情'],[' 美国'],[' 英语 / 拉丁语'],"['1989-06-02(多伦多首映)', '1989-06-09(美国)']",['128 分钟'],['9.0'],['392730'],['45'],['60.3%'],['31.7%'],['7.3%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
49,['素媛 ??'],"['金智慧', '赵重勋']","['薛耿求', '严志媛', '李来']",['剧情'],[' 韩国'],[' 韩语'],['2013-10-02(韩国)'],['123分钟'],['9.2'],['292147'],['45'],['64.5%'],['30.1%'],['5.0%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
50,['寻梦环游记 Coco'],"['阿德里安·莫利纳', '马修·奥尔德里奇', '李·昂克里奇', '詹森·卡茨']","['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特']","['喜剧', '动画', '音乐', '奇幻']",[' 美国'],[' 英语 / 西班牙语'],"['2017-11-24(中国大陆)', '2017-10-20(莫雷利亚电影节)', '2017-11-22(美国)']",['105分钟'],['9.0'],['740726'],['45'],['60.3%'],['32.0%'],['7.2%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
51,['指环王2：双塔奇兵 The Lord of the Rings: The Two Towers'],"['弗兰·威尔士', '菲利帕·鲍恩斯', '斯蒂芬·辛克莱', '彼得·杰克逊', 'J·R·R·托尔金']","['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩']","['剧情', '动作', '奇幻', '冒险']",[' 美国 / 新西兰'],[' 英语 / 辛达林语 / 古代英语'],"['2003-04-25(中国大陆)', '2002-12-05(纽约首映)', '2002-12-18(美国)']",['179分钟'],['9.0'],['381603'],['45'],['60.4%'],['31.3%'],['7.6%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
52,['教父2 The Godfather: Part Ⅱ'],"['弗朗西斯·福特·科波拉', '马里奥·普佐']","['阿尔·帕西诺', '罗伯特·杜瓦尔', '黛安·基顿']","['剧情', '犯罪']",[' 美国'],[' 英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语'],"['1974-12-12(纽约首映)', '1974-12-20(美国)']",['202分钟'],['9.2'],['272660'],['45'],['64.4%'],['29.4%'],['5.7%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
53,['V字仇杀队 V for Vendetta'],"['莉莉·沃卓斯基', '拉娜·沃卓斯基']","['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞']","['剧情', '动作', '科幻', '惊悚']",[' 美国 / 英国 / 德国'],[' 英语'],"['2005-12-11(BNAT电影节)', '2006-03-17(美国)']",['132分钟'],['8.9'],['599800'],['45'],['55.4%'],['33.5%'],['9.6%'],['1.1%'],['0.4%']
,,,,,,,,,,,,,,,,
54,['指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring'],"['弗兰·威尔士', '菲利帕·鲍恩斯', '彼得·杰克逊', 'J·R·R·托尔金']","['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩']","['剧情', '动作', '奇幻', '冒险']",[' 新西兰 / 美国'],[' 英语 / 辛达林语'],"['2002-04-04(中国大陆)', '2001-12-19(美国)']",['178分钟'],['9.0'],['427775'],['45'],['58.6%'],['32.1%'],['8.4%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
55,['海豚湾 The Cove'],['马克·蒙雷'],"[""Richard O'Barry"", '路易·西霍尤斯', 'Hardy Jones']",['纪录片'],[' 美国'],[' 英语 / 日语'],['2009-07-31(美国)'],['92分钟'],['9.3'],['235913'],['45'],['71.0%'],['22.9%'],['5.1%'],['0.5%'],['0.4%']
,,,,,,,,,,,,,,,,
56,['饮食男女 飲食男女'],"['李安', '王蕙玲', '詹姆斯·夏慕斯']","['郎雄', '杨贵媚', '吴倩莲']","['剧情', '家庭']",[' 台湾 / 美国'],[' 汉语普通话 / 闽南语 / 湖南话'],['1994-08-03(美国)'],['124分钟'],['9.1'],['293107'],['45'],['61.3%'],['33.1%'],['5.3%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
57,['狮子王 The Lion King'],"['艾琳·梅琪', '乔纳森·罗伯特 ', '琳达·伍尔芙顿']","['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯']","['剧情', '动画', '歌舞', '家庭', '冒险']",[' 美国'],[' 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语'],"['1995-07-15(中国大陆)', '1994-06-15(美国)', '2011-09-16(美国)']",['89 分钟'],['9.0'],['406947'],['45'],['57.0%'],['34.8%'],['7.8%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
58,['美丽心灵 A Beautiful Mind'],"['阿齐瓦·高斯曼', '西尔维娅·纳萨尔']","['罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利']","['剧情', '传记']",[' 美国'],[' 英语'],"['2001-12-13(加州首映)', '2002-01-04(美国)']",['135分钟'],['9.0'],['416509'],['45'],['55.6%'],['36.8%'],['7.1%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
59,['情书 Love Letter'],['岩井俊二'],"['中山美穗', '丰川悦司', '酒井美纪']","['剧情', '爱情']",[' 日本'],[' 日语'],"['1999-03(中国大陆)', '1995-03-25(日本)']",['117分钟'],['8.9'],['517471'],['45'],['54.9%'],['34.3%'],['9.8%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
60,['钢琴家 The Pianist'],['罗纳德·哈伍德'],"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯']","['剧情', '音乐', '传记', '历史', '战争']",[' 法国 / 德国 / 英国 / 波兰'],[' 英语 / 德语 / 俄语'],"['2002-05-24(戛纳电影节)', '2002-09-25(法国)']",['150分钟'],['9.1'],['274595'],['45'],['60.9%'],['33.0%'],['5.7%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
61,['本杰明·巴顿奇事 The Curious Case of Benjamin Button'],"['艾瑞克·罗斯', '罗宾·史威考德', 'F·司各特·菲茨杰拉德']","['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德']","['剧情', '爱情', '奇幻']",[' 美国'],[' 英语 / 俄语 / 法语'],['2008-12-25(美国)'],['166分钟'],['8.8'],['543541'],['45'],['53.0%'],['36.9%'],['9.4%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
